id,name,origin,description,alt_names,temperament,weight.metric,weight.imperial,intelligence,child_friendly,dog_friendly,cat_friendly,stranger_friendly,energy_level,affection_level,adaptability,indoor,grooming,hypoallergenic,shedding_level,life_span,health_issues,social_needs,vocalisation,lap,natural,experimental,rare,hairless,short_legs,suppressed_tail,bidability,rex,vcahospitals_url,vetstreet_url,cfa_url,wikipedia_url,image_url,image_id,reference_image_id,country_code,country_codes
abys,Abyssinian,Egypt,"The Abyssinian is easy to care for, and a joy to have in your home. They’re affectionate cats and love both people and other animals.",,"Active, Energetic, Independent, Intelligent, Gentle",,,5,3,4,,5,5,5,5,0,1,0,2,14 - 15,2,5,1,1.0,1,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/abyssinian,http://www.vetstreet.com/cats/abyssinian,http://cfa.org/Breeds/BreedsAB/Abyssinian.aspx,https://en.wikipedia.org/wiki/Abyssinian_(cat),,,0XYvRd7oD,,EG
chau,Chausie,Egypt,"For those owners who desire a feline capable of evoking the great outdoors, the strikingly beautiful Chausie retains a bit of the wild in its appearance but has the house manners of our friendly, familiar moggies. Very playful, this cat needs a large amount of space to be able to fully embrace its hunting instincts.",Nile Cat,"Affectionate, Intelligent, Playful, Social",,,5,4,5,,4,4,5,5,0,3,0,3,12 - 14,1,3,1,,0,1,0,0,0,0,,0,,,,https://en.wikipedia.org/wiki/Chausie,,,vJ3lEYgXr,,EG
nebe,Nebelung,United States,"The Nebelung may have a reserved nature, but she loves to play (being especially fond of retrieving) and enjoys jumping or climbing to high places where she can study people and situations at her leisure before making up her mind about whether she wants to get involved.",Longhaired Russian Blue,"Gentle, Quiet, Shy, Playful",,,5,4,4,,3,3,5,5,0,3,0,3,11 - 16,2,3,1,1.0,0,0,1,0,0,0,,0,,,,https://en.wikipedia.org/wiki/Nebelung,,,OGTWqNNOt,,US
ragd,Ragdoll,United States,"Ragdolls love their people, greeting them at the door, following them around the house, and leaping into a lap or snuggling in bed whenever given the chance. They are the epitome of a lap cat, enjoy being carried and collapsing into the arms of anyone who holds them.",Rag doll,"Affectionate, Friendly, Gentle, Quiet, Easygoing",,,3,4,5,,3,3,5,5,0,2,0,3,12 - 17,3,5,1,1.0,0,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/ragdoll,http://www.vetstreet.com/cats/ragdoll,http://cfa.org/Breeds/BreedsKthruR/Ragdoll.aspx,https://en.wikipedia.org/wiki/Ragdoll,,,oGefY4YoG,,US
ragd,Ragdoll,United States,"Ragdolls love their people, greeting them at the door, following them around the house, and leaping into a lap or snuggling in bed whenever given the chance. They are the epitome of a lap cat, enjoy being carried and collapsing into the arms of anyone who holds them.",Rag doll,"Affectionate, Friendly, Gentle, Quiet, Easygoing",,,3,4,5,,3,3,5,5,0,2,0,3,12 - 17,3,5,1,1.0,0,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/ragdoll,http://www.vetstreet.com/cats/ragdoll,http://cfa.org/Breeds/BreedsKthruR/Ragdoll.aspx,https://en.wikipedia.org/wiki/Ragdoll,,,oGefY4YoG,,US
rblu,Russian Blue,Russia,Russian Blues are very loving and reserved. They do not like noisy households but they do like to play and can be quite active when outdoors. They bond very closely with their owner and are known to be compatible with other pets.,"Archangel Blue, Archangel Cat","Active, Dependent, Easy Going, Gentle, Intelligent, Loyal, Playful, Quiet",,,3,3,3,,1,3,3,3,0,3,1,3,10 - 16,1,3,1,1.0,1,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/russian-blue,http://www.vetstreet.com/cats/russian-blue-nebelung,http://cfa.org/Breeds/BreedsKthruR/RussianBlue.aspx,https://en.wikipedia.org/wiki/Russian_Blue,,,Rhj-JsTLP,,RU
mcoo,Maine Coon,United States,"They are known for their size and luxurious long coat Maine Coons are considered a gentle giant. The good-natured and affable Maine Coon adapts well to many lifestyles and personalities. She likes being with people and has the habit of following them around, but isn’t needy. Most Maine Coons love water and they can be quite good swimmers.","Coon Cat, Maine Cat, Maine Shag, Snowshoe Cat, American Longhair, The Gentle Giants","Adaptable, Intelligent, Loving, Gentle, Independent",,,5,4,5,,5,3,5,5,0,3,0,3,12 - 15,3,3,1,1.0,1,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/maine-coon,http://www.vetstreet.com/cats/maine-coon,http://cfa.org/Breeds/BreedsKthruR/MaineCoon.aspx,https://en.wikipedia.org/wiki/Maine_Coon,,,OOD3VXAQn,,US
srex,Selkirk Rex,United States,"The Selkirk Rex is an incredibly patient, loving, and tolerant breed. The Selkirk also has a silly side and is sometimes described as clownish. She loves being a lap cat and will be happy to chat with you in a quiet voice if you talk to her. ",Shepherd Cat,"Active, Affectionate, Dependent, Gentle, Patient, Playful, Quiet, Social",,,3,4,5,,3,3,5,5,0,2,1,1,14 - 15,4,3,3,1.0,0,0,0,0,0,0,,1,https://vcahospitals.com/know-your-pet/cat-breeds/selkirk-rex,http://www.vetstreet.com/cats/selkirk-rex,http://cfa.org/Breeds/BreedsSthruT/SelkirkRex.aspx,https://en.wikipedia.org/wiki/Selkirk_Rex,,,II9dOZmrw,,US
sibe,Siberian,Russia,"The Siberians dog like temperament and affection makes the ideal lap cat and will live quite happily indoors. Very agile and powerful, the Siberian cat can easily leap and reach high places, including the tops of refrigerators and even doors. ","Moscow Semi-longhair, HairSiberian Forest Cat","Curious, Intelligent, Loyal, Sweet, Agile, Playful, Affectionate",,,5,4,5,,3,5,5,5,0,2,1,3,12 - 15,2,4,1,1.0,1,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/siberian,http://www.vetstreet.com/cats/siberian,http://cfa.org/Breeds/BreedsSthruT/Siberian.aspx,https://en.wikipedia.org/wiki/Siberian_(cat),,,3bkZAjRh1,,RU
toyg,Toyger,United States,"The Toyger has a sweet, calm personality and is generally friendly. He's outgoing enough to walk on a leash, energetic enough to play fetch and other interactive games, and confident enough to get along with other cats and friendly dogs.",,"Playful, Social, Intelligent",,,5,4,5,,5,5,5,5,0,1,0,3,12 - 15,2,3,5,1.0,0,0,0,0,0,0,,0,,http://www.vetstreet.com/cats/toyger,,https://en.wikipedia.org/wiki/Toyger,,,O3F3_S1XN,,US
