id,name,origin,description,alt_names,temperament,weight.metric,weight.imperial,intelligence,child_friendly,dog_friendly,cat_friendly,stranger_friendly,energy_level,affection_level,adaptability,indoor,grooming,hypoallergenic,shedding_level,life_span,health_issues,social_needs,vocalisation,lap,natural,experimental,rare,hairless,short_legs,suppressed_tail,bidability,rex,vcahospitals_url,vetstreet_url,cfa_url,wikipedia_url,image_url,image_id,reference_image_id,country_code,country_codes
abys,Abyssinian,Egypt,"The Abyssinian is easy to care for, and a joy to have in your home. They’re affectionate cats and love both people and other animals.",,"Active, Energetic, Independent, Intelligent, Gentle",,,5,3,4,,5,5,5,5,0,1,0,2,14 - 15,2,5,1,1.0,1,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/abyssinian,http://www.vetstreet.com/cats/abyssinian,http://cfa.org/Breeds/BreedsAB/Abyssinian.aspx,https://en.wikipedia.org/wiki/Abyssinian_(cat),,,0XYvRd7oD,,EG
bali,Balinese,United States,"Balinese are curious, outgoing, intelligent cats with excellent communication skills. They are known for their chatty personalities and are always eager to tell you their views on life, love, and what you’ve served them for dinner. ",Long-haired Siamese,"Affectionate, Intelligent, Playful",,,5,4,5,,5,5,5,5,0,3,1,3,10 - 15,3,5,5,,0,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/balinese,http://www.vetstreet.com/cats/balinese,http://cfa.org/Breeds/BreedsAB/Balinese.aspx,https://en.wikipedia.org/wiki/Balinese_(cat),,,13MkvUreZ,,US
char,Chartreux,France,"The Chartreux is generally silent but communicative. Short play sessions, mixed with naps and meals are their perfect day. Whilst appreciating any attention you give them, they are not demanding, content instead to follow you around devotedly, sleep on your bed and snuggle with you if you’re not feeling well.",,"Affectionate, Loyal, Intelligent, Social, Lively, Playful",,,4,4,5,,5,2,5,5,0,1,1,3,12 - 15,2,5,1,1.0,0,0,0,0,0,0,,1,https://vcahospitals.com/know-your-pet/cat-breeds/chartreux,http://www.vetstreet.com/cats/chartreux,http://cfa.org/Breeds/BreedsCJ/Chartreux.aspx,https://en.wikipedia.org/wiki/Chartreux,,,j6oFGLpRG,,FR
hbro,Havana Brown,United Kingdom,"The Havana Brown is human oriented, playful, and curious. She has a strong desire to spend time with her people and involve herself in everything they do. Being naturally inquisitive, the Havana Brown reaches out with a paw to touch and feel when investigating curiosities in its environment. They are truly sensitive by nature and frequently gently touch their human companions as if they are extending a paw of friendship.","Havana, HB","Affectionate, Curious, Demanding, Friendly, Intelligent, Playful",,,5,4,5,,3,3,5,5,0,1,0,3,10 - 15,1,5,1,1.0,0,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/havana-brown,http://www.vetstreet.com/cats/havana-brown,http://cfa.org/Breeds/BreedsCJ/HavanaBrown.aspx,https://en.wikipedia.org/wiki/Havana_Brown,,,njK25knLH,,GB
munc,Munchkin,United States,The Munchkin is an outgoing cat who enjoys being handled. She has lots of energy and is faster and more agile than she looks. The shortness of their legs does not seem to interfere with their running and leaping abilities.,,"Agile, Easy Going, Intelligent, Playful",,,5,4,5,,5,4,5,5,0,2,0,3,10 - 15,3,5,3,1.0,0,0,0,0,1,0,,0,,http://www.vetstreet.com/cats/munchkin,,https://en.wikipedia.org/wiki/Munchkin_(cat),,,j5cVSqLer,,US
norw,Norwegian Forest Cat,Norway,"The Norwegian Forest Cat is a sweet, loving cat. She appreciates praise and loves to interact with her parent. She makes a loving companion and bonds with her parents once she accepts them for her own. She is still a hunter at heart. She loves to chase toys as if they are real. She is territorial and patrols several times each day to make certain that all is fine.","Skogkatt / Skaukatt, Norsk Skogkatt / Norsk Skaukatt, Weegie","Sweet, Active, Intelligent, Social, Playful, Lively, Curious",,,4,4,5,,5,3,5,5,0,2,0,3,12 - 16,3,5,1,,1,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/norwegian-forest-cat,http://www.vetstreet.com/cats/norwegian-forest-cat,http://cfa.org/Breeds/BreedsKthruR/NorwegianForestCat.aspx,https://en.wikipedia.org/wiki/Norwegian_Forest_Cat,,,06dgGmEOV,,NO
ocic,Ocicat,United States,"Loyal and devoted to their owners, the Ocicat is intelligent, confident, outgoing, and seems to have many dog traits. They can be trained to fetch toys, walk on a lead, taught to 'speak', come when called, and follow other commands. ",,"Active, Agile, Curious, Demanding, Friendly, Gentle, Lively, Playful, Social",,,5,4,5,,5,5,5,5,0,1,1,3,12 - 14,3,5,3,,0,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/ocicat,http://www.vetstreet.com/cats/ocicat,http://cfa.org/Breeds/BreedsKthruR/Ocicat.aspx,https://en.wikipedia.org/wiki/Ocicat,,,JAx-08Y0n,,US
rblu,Russian Blue,Russia,Russian Blues are very loving and reserved. They do not like noisy households but they do like to play and can be quite active when outdoors. They bond very closely with their owner and are known to be compatible with other pets.,"Archangel Blue, Archangel Cat","Active, Dependent, Easy Going, Gentle, Intelligent, Loyal, Playful, Quiet",,,3,3,3,,1,3,3,3,0,3,1,3,10 - 16,1,3,1,1.0,1,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/russian-blue,http://www.vetstreet.com/cats/russian-blue-nebelung,http://cfa.org/Breeds/BreedsKthruR/RussianBlue.aspx,https://en.wikipedia.org/wiki/Russian_Blue,,,Rhj-JsTLP,,RU
sava,Savannah,United States,"Savannah is the feline version of a dog. Actively seeking social interaction, they are given to pouting if left out. Remaining kitten-like through life. Profoundly loyal to immediate family members whilst questioning the presence of strangers. Making excellent companions that are loyal, intelligent and eager to be involved.",,"Curious, Social, Intelligent, Loyal, Outgoing, Adventurous, Affectionate",,,5,4,5,,5,5,5,5,0,1,0,3,17 - 20,1,5,1,,0,1,0,0,0,0,,0,,http://www.vetstreet.com/cats/savannah,,https://en.wikipedia.org/wiki/Savannah_cat,,,a8nIYvs6S,,US
sibe,Siberian,Russia,"The Siberians dog like temperament and affection makes the ideal lap cat and will live quite happily indoors. Very agile and powerful, the Siberian cat can easily leap and reach high places, including the tops of refrigerators and even doors. ","Moscow Semi-longhair, HairSiberian Forest Cat","Curious, Intelligent, Loyal, Sweet, Agile, Playful, Affectionate",,,5,4,5,,3,5,5,5,0,2,1,3,12 - 15,2,4,1,1.0,1,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/siberian,http://www.vetstreet.com/cats/siberian,http://cfa.org/Breeds/BreedsSthruT/Siberian.aspx,https://en.wikipedia.org/wiki/Siberian_(cat),,,3bkZAjRh1,,RU
