id,name,origin,description,alt_names,temperament,weight.metric,weight.imperial,intelligence,child_friendly,dog_friendly,cat_friendly,stranger_friendly,energy_level,affection_level,adaptability,indoor,grooming,hypoallergenic,shedding_level,life_span,health_issues,social_needs,vocalisation,lap,natural,experimental,rare,hairless,short_legs,suppressed_tail,bidability,rex,vcahospitals_url,vetstreet_url,cfa_url,wikipedia_url,image_url,image_id,reference_image_id,country_code,country_codes
abob,American Bobtail,United States,American Bobtails are loving and incredibly intelligent cats possessing a distinctive wild appearance. They are extremely interactive cats that bond with their human family with great devotion.,,"Intelligent, Interactive, Lively, Playful, Sensitive",,,5,4,5,,3,3,5,5,0,1,0,3,11 - 15,1,3,3,1.0,0,0,0,0,0,1,,0,https://vcahospitals.com/know-your-pet/cat-breeds/american-bobtail,http://www.vetstreet.com/cats/american-bobtail,http://cfa.org/Breeds/BreedsAB/AmericanBobtail.aspx,https://en.wikipedia.org/wiki/American_Bobtail,,,hBXicehMA,US,US
acur,American Curl,United States,"Distinguished by truly unique ears that curl back in a graceful arc, offering an alert, perky, happily surprised expression, they cause people to break out into a big smile when viewing their first Curl. Curls are very people-oriented, faithful, affectionate soulmates, adjusting remarkably fast to other pets, children, and new situations.",,"Affectionate, Curious, Intelligent, Interactive, Lively, Playful, Social",,,3,4,5,,3,3,5,5,0,2,0,3,12 - 16,1,3,3,1.0,0,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/american-curl,http://www.vetstreet.com/cats/american-curl,http://cfa.org/Breeds/BreedsAB/AmericanCurl.aspx,https://en.wikipedia.org/wiki/American_Curl,,,xnsqonbjW,US,US
bure,Burmese,Burma,"Burmese love being with people, playing with them, and keeping them entertained. They crave close physical contact and abhor an empty lap. They will follow their humans from room to room, and sleep in bed with them, preferably under the covers, cuddled as close as possible. At play, they will turn around to see if their human is watching and being entertained by their crazy antics.",,"Curious, Intelligent, Gentle, Social, Interactive, Playful, Lively",,,5,4,5,,5,4,5,5,0,1,1,3,15 - 16,3,5,5,1.0,0,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/burmese,http://www.vetstreet.com/cats/burmese,http://cfa.org/Breeds/BreedsAB/Burmese.aspx,https://en.wikipedia.org/wiki/Burmese_(cat),,,4lXnnfxac,MM,MM
hbro,Havana Brown,United Kingdom,"The Havana Brown is human oriented, playful, and curious. She has a strong desire to spend time with her people and involve herself in everything they do. Being naturally inquisitive, the Havana Brown reaches out with a paw to touch and feel when investigating curiosities in its environment. They are truly sensitive by nature and frequently gently touch their human companions as if they are extending a paw of friendship.","Havana, HB","Affectionate, Curious, Demanding, Friendly, Intelligent, Playful",,,5,4,5,,3,3,5,5,0,1,0,3,10 - 15,1,5,1,1.0,0,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/havana-brown,http://www.vetstreet.com/cats/havana-brown,http://cfa.org/Breeds/BreedsCJ/HavanaBrown.aspx,https://en.wikipedia.org/wiki/Havana_Brown,,,njK25knLH,GB,GB
csho,Colorpoint Shorthair,United States,"Colorpoint Shorthairs are an affectionate breed, devoted and loyal to their people. Sensitive to their owner’s moods, Colorpoints are more than happy to sit at your side or on your lap and purr words of encouragement on a bad day. They will constantly seek out your lap whenever it is open and in the moments when your lap is preoccupied they will stretch out in sunny spots on the ground.",,"Affectionate, Intelligent, Playful, Social",,,5,4,4,3.0,2,4,4,3,0,2,0,3,12 - 16,2,4,5,1.0,0,0,0,0,0,0,4.0,0,https://vcahospitals.com/know-your-pet/cat-breeds/colorpoint-shorthair,,http://cfa.org/Breeds/BreedsCJ/ColorpointShorthair.aspx,https://en.wikipedia.org/wiki/Colorpoint_Shorthair,,,oSpqGyUDS,US,US
norw,Norwegian Forest Cat,Norway,"The Norwegian Forest Cat is a sweet, loving cat. She appreciates praise and loves to interact with her parent. She makes a loving companion and bonds with her parents once she accepts them for her own. She is still a hunter at heart. She loves to chase toys as if they are real. She is territorial and patrols several times each day to make certain that all is fine.","Skogkatt / Skaukatt, Norsk Skogkatt / Norsk Skaukatt, Weegie","Sweet, Active, Intelligent, Social, Playful, Lively, Curious",,,4,4,5,,5,3,5,5,0,2,0,3,12 - 16,3,5,1,,1,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/norwegian-forest-cat,http://www.vetstreet.com/cats/norwegian-forest-cat,http://cfa.org/Breeds/BreedsKthruR/NorwegianForestCat.aspx,https://en.wikipedia.org/wiki/Norwegian_Forest_Cat,,,06dgGmEOV,NO,NO
ocic,Ocicat,United States,"Loyal and devoted to their owners, the Ocicat is intelligent, confident, outgoing, and seems to have many dog traits. They can be trained to fetch toys, walk on a lead, taught to 'speak', come when called, and follow other commands. ",,"Active, Agile, Curious, Demanding, Friendly, Gentle, Lively, Playful, Social",,,5,4,5,,5,5,5,5,0,1,1,3,12 - 14,3,5,3,,0,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/ocicat,http://www.vetstreet.com/cats/ocicat,http://cfa.org/Breeds/BreedsKthruR/Ocicat.aspx,https://en.wikipedia.org/wiki/Ocicat,,,JAx-08Y0n,US,US
sfol,Scottish Fold,United Kingdom,"The Scottish Fold is a sweet, charming breed. She is an easy cat to live with and to care for. She is affectionate and is comfortable with all members of her family. Her tail should be handled gently. Folds are known for sleeping on their backs, and for sitting with their legs stretched out and their paws on their belly. This is called the ""Buddha Position"".",Scot Fold,"Affectionate, Intelligent, Loyal, Playful, Social, Sweet, Loving",,,3,4,5,,3,3,5,5,0,1,0,3,11 - 14,4,3,1,,0,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/scottish-fold,http://www.vetstreet.com/cats/scottish-fold-highland-fold,http://cfa.org/Breeds/BreedsSthruT/ScottishFold.aspx,https://en.wikipedia.org/wiki/Scottish_Fold,,,o9t0LDcsa,GB,GB
siam,Siamese,Thailand,"While Siamese cats are extremely fond of their people, they will follow you around and supervise your every move, being talkative and opinionated. They are a demanding and social cat, that do not like being left alone for long periods.","Siam, Thai Cat","Active, Agile, Clever, Sociable, Loving, Energetic",,,5,4,5,,5,5,5,5,0,1,1,2,12 - 15,1,5,5,1.0,0,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/siamese,http://www.vetstreet.com/cats/siamese,http://cfa.org/Breeds/BreedsSthruT/Siamese.aspx,https://en.wikipedia.org/wiki/Siamese_(cat),,,ai6Jps4sx,TH,TH
tvan,Turkish Van,Turkey,"While the Turkish Van loves to jump and climb, play with toys, retrieve and play chase, she is is big and ungainly; this is one cat who doesn’t always land on his feet. While not much of a lap cat, the Van will be happy to cuddle next to you and sleep in your bed. ","Turkish Cat, Swimming cat","Agile, Intelligent, Loyal, Playful, Energetic",,,5,4,5,,4,5,5,5,0,2,0,3,12 - 17,1,4,5,,1,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/turkish-van,http://www.vetstreet.com/cats/turkish-van,http://cfa.org/Breeds/BreedsSthruT/TurkishVan.aspx,https://en.wikipedia.org/wiki/Turkish_Van,,,sxIXJax6h,TR,TR
