id,name,origin,description,alt_names,temperament,weight.metric,weight.imperial,intelligence,child_friendly,dog_friendly,cat_friendly,stranger_friendly,energy_level,affection_level,adaptability,indoor,grooming,hypoallergenic,shedding_level,life_span,health_issues,social_needs,vocalisation,lap,natural,experimental,rare,hairless,short_legs,suppressed_tail,bidability,rex,vcahospitals_url,vetstreet_url,cfa_url,wikipedia_url,image_url,image_id,reference_image_id,country_code,country_codes
amau,Arabian Mau,United Arab Emirates,"Arabian Mau cats are social and energetic. Due to their energy levels, these cats do best in homes where their owners will be able to provide them with plenty of playtime, attention and interaction from their owners. These kitties are friendly, intelligent, and adaptable, and will even get along well with other pets and children.",Alley cat,"Affectionate, Agile, Curious, Independent, Playful, Loyal",4 - 7,8 - 16,3,4,5,,3,4,5,5,0,1,0,1,12 - 14,1,3,1,,1,0,0,0,0,0,,0,,,,https://en.wikipedia.org/wiki/Arabian_Mau,https://cdn2.thecatapi.com/images/zlpgGWqN7.jpg,zlpgGWqN7,k71ULYfRr,AE,AE
birm,Birman,France,"The Birman is a docile, quiet cat who loves people and will follow them from room to room. Expect the Birman to want to be involved in what you’re doing. He communicates in a soft voice, mainly to remind you that perhaps it’s time for dinner or maybe for a nice cuddle on the sofa. He enjoys being held and will relax in your arms like a furry baby.","Sacred Birman, Sacred Cat Of Burma","Affectionate, Active, Gentle, Social",3 - 7,6 - 15,3,4,5,,3,3,5,5,0,2,0,3,14 - 15,1,4,1,1.0,0,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/birman,http://www.vetstreet.com/cats/birman,http://cfa.org/Breeds/BreedsAB/Birman.aspx,https://en.wikipedia.org/wiki/Birman,https://cdn2.thecatapi.com/images/9tZCXEYzy.jpg,9tZCXEYzy,HOrX5gwLS,FR,FR
bslo,British Longhair,United Kingdom,"The British Longhair is a very laid-back relaxed cat, often perceived to be very independent although they will enjoy the company of an equally relaxed and likeminded cat. They are an affectionate breed, but very much on their own terms and tend to prefer to choose to come and sit with their owners rather than being picked up.",,"Affectionate, Easy Going, Independent, Intelligent, Loyal, Social",4 - 8,8 - 18,5,4,5,,4,4,5,5,0,5,0,1,12 - 14,1,3,1,,0,0,0,0,0,0,,0,,,,https://en.wikipedia.org/wiki/British_Longhair,https://cdn2.thecatapi.com/images/re7uO34hz.jpg,re7uO34hz,7isAO4Cav,GB,GB
bsho,British Shorthair,United Kingdom,"The British Shorthair is a very pleasant cat to have as a companion, ans is easy going and placid. The British is a fiercely loyal, loving cat and will attach herself to every one of her family members. While loving to play, she doesn't need hourly attention. If she is in the mood to play, she will find someone and bring a toy to that person. The British also plays well by herself, and thus is a good companion for single people.","Highlander, Highland Straight, Britannica","Affectionate, Easy Going, Gentle, Loyal, Patient, calm",5 - 9,12 - 20,3,4,5,,2,2,4,5,0,2,0,4,12 - 17,2,3,1,1.0,1,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/british-shorthair,http://www.vetstreet.com/cats/british-shorthair,http://cfa.org/Breeds/BreedsAB/BritishShorthair.aspx,https://en.wikipedia.org/wiki/British_Shorthair,https://cdn2.thecatapi.com/images/_7U4xGLO_.jpg,_7U4xGLO_,s4wQfYoEk,GB,GB
cymr,Cymric,Canada,"The Cymric is a placid, sweet cat. They do not get too upset about anything that happens in their world. They are loving companions and adore people. They are smart and dexterous, capable of using his paws to get into cabinets or to open doors.",Spangle,"Gentle, Loyal, Intelligent, Playful",4 - 6,8 - 13,5,4,5,,3,5,5,5,0,3,0,5,8 - 14,3,5,3,1.0,0,0,0,0,0,1,,0,,http://www.vetstreet.com/cats/cymric,,https://en.wikipedia.org/wiki/Cymric_(cat),https://cdn2.thecatapi.com/images/OLP-tyC2i.jpg,OLP-tyC2i,3dbtapCWM,CA,CA
nebe,Nebelung,United States,"The Nebelung may have a reserved nature, but she loves to play (being especially fond of retrieving) and enjoys jumping or climbing to high places where she can study people and situations at her leisure before making up her mind about whether she wants to get involved.",Longhaired Russian Blue,"Gentle, Quiet, Shy, Playful",3 - 5,7 - 11,5,4,4,,3,3,5,5,0,3,0,3,11 - 16,2,3,1,1.0,0,0,1,0,0,0,,0,,,,https://en.wikipedia.org/wiki/Nebelung,https://cdn2.thecatapi.com/images/FotU1pOJT.jpg,FotU1pOJT,OGTWqNNOt,US,US
rblu,Russian Blue,Russia,Russian Blues are very loving and reserved. They do not like noisy households but they do like to play and can be quite active when outdoors. They bond very closely with their owner and are known to be compatible with other pets.,"Archangel Blue, Archangel Cat","Active, Dependent, Easy Going, Gentle, Intelligent, Loyal, Playful, Quiet",2 - 5,5 - 11,3,3,3,,1,3,3,3,0,3,1,3,10 - 16,1,3,1,1.0,1,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/russian-blue,http://www.vetstreet.com/cats/russian-blue-nebelung,http://cfa.org/Breeds/BreedsKthruR/RussianBlue.aspx,https://en.wikipedia.org/wiki/Russian_Blue,https://cdn2.thecatapi.com/images/tHKLZkKZG.jpg,tHKLZkKZG,Rhj-JsTLP,RU,RU
sfol,Scottish Fold,United Kingdom,"The Scottish Fold is a sweet, charming breed. She is an easy cat to live with and to care for. She is affectionate and is comfortable with all members of her family. Her tail should be handled gently. Folds are known for sleeping on their backs, and for sitting with their legs stretched out and their paws on their belly. This is called the ""Buddha Position"".",Scot Fold,"Affectionate, Intelligent, Loyal, Playful, Social, Sweet, Loving",2 - 5,5 - 11,3,4,5,,3,3,5,5,0,1,0,3,11 - 14,4,3,1,,0,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/scottish-fold,http://www.vetstreet.com/cats/scottish-fold-highland-fold,http://cfa.org/Breeds/BreedsSthruT/ScottishFold.aspx,https://en.wikipedia.org/wiki/Scottish_Fold,https://cdn2.thecatapi.com/images/_GVSjXZ4i.jpg,_GVSjXZ4i,o9t0LDcsa,GB,GB
sphy,Sphynx,Canada,"The Sphynx is an intelligent, inquisitive, extremely friendly people-oriented breed. Sphynx commonly greet their owners  at the front door, with obvious excitement and happiness. She has an unexpected sense of humor that is often at odds with her dour expression.","Canadian Hairless, Canadian Sphynx","Loyal, Inquisitive, Friendly, Quiet, Gentle",3 - 5,6 - 12,5,4,5,,5,3,5,5,0,2,1,1,12 - 14,4,5,5,1.0,0,0,1,1,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/sphynx,http://www.vetstreet.com/cats/sphynx,http://cfa.org/Breeds/BreedsSthruT/Sphynx.aspx,https://en.wikipedia.org/wiki/Sphynx_(cat),https://cdn2.thecatapi.com/images/bSu2exlkB.jpg,bSu2exlkB,BDb8ZXb1v,CA,CA
tvan,Turkish Van,Turkey,"While the Turkish Van loves to jump and climb, play with toys, retrieve and play chase, she is is big and ungainly; this is one cat who doesn’t always land on his feet. While not much of a lap cat, the Van will be happy to cuddle next to you and sleep in your bed. ","Turkish Cat, Swimming cat","Agile, Intelligent, Loyal, Playful, Energetic",3 - 9,7 - 20,5,4,5,,4,5,5,5,0,2,0,3,12 - 17,1,4,5,,1,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/turkish-van,http://www.vetstreet.com/cats/turkish-van,http://cfa.org/Breeds/BreedsSthruT/TurkishVan.aspx,https://en.wikipedia.org/wiki/Turkish_Van,https://cdn2.thecatapi.com/images/RvfGGt00v.jpg,RvfGGt00v,sxIXJax6h,TR,TR
